date,time,open,high,low,close,volume,number_of_trades
2021-04-27,1:39 PM,116.025,116.04,116.005,116.01,535,11
2021-04-27,1:40 PM,116.0,116.02,115.995,116.02,688,8
2021-04-27,1:41 PM,116.02,116.07,116.02,116.07,295,9
2021-04-27,1:42 PM,116.065,116.07,116.015,116.02,730,15
2021-04-27,1:43 PM,116.045,116.08,116.045,116.08,490,9
2021-04-27,1:44 PM,116.075,116.1,116.075,116.08,902,19
2021-04-27,1:45 PM,116.075,116.08,116.06,116.07,798,9
2021-04-27,1:46 PM,116.06,116.06,116.01,116.01,28,5
2021-04-27,1:47 PM,115.98,115.98,115.925,115.96,667,10
2021-04-27,1:48 PM,115.99,115.99,115.98,115.98,204,5
2021-04-27,1:49 PM,115.92,115.925,115.915,115.915,67,4
2021-04-27,1:50 PM,115.91,115.92,115.905,115.905,380,10
2021-04-27,1:51 PM,115.895,115.9,115.895,115.9,119,3
2021-04-27,1:52 PM,115.92,115.93,115.92,115.93,200,2
2021-04-27,1:53 PM,115.93,115.94,115.93,115.94,793,7
2021-04-27,1:54 PM,115.96,115.98,115.96,115.98,600,6
2021-04-27,1:55 PM,115.995,116.0,115.975,115.975,386,3
2021-04-27,1:56 PM,115.98,116.02,115.98,116.0,316,13
2021-04-27,1:57 PM,116.015,116.03,116.015,116.03,420,7
2021-04-27,1:58 PM,116.04,116.06,116.04,116.05,643,7
2021-04-27,1:59 PM,116.04,116.065,116.04,116.065,219,5
2021-04-27,2 PM,116.05,116.05,115.985,115.985,843,14
2021-04-27,2:01 PM,115.98,115.99,115.925,115.925,924,16
2021-04-27,2:02 PM,115.92,115.94,115.92,115.93,366,12
2021-04-27,2:03 PM,115.91,115.915,115.9,115.9,618,8
2021-04-27,2:04 PM,115.91,115.91,115.85,115.865,708,11
2021-04-27,2:05 PM,115.865,115.885,115.815,115.885,498,9
2021-04-27,2:06 PM,115.91,115.93,115.88,115.9,967,13
2021-04-27,2:07 PM,115.92,115.92,115.87,115.89,419,6
2021-04-27,2:08 PM,115.88,115.92,115.88,115.91,618,11
2021-04-27,2:09 PM,115.9,115.91,115.875,115.875,527,9
2021-04-27,2:10 PM,115.89,115.955,115.88,115.94,862,13
2021-04-27,2:11 PM,115.93,115.93,115.9,115.9,310,10
2021-04-27,2:12 PM,115.87,115.87,115.815,115.825,423,11
2021-04-27,2:13 PM,115.835,115.88,115.835,115.88,350,7
2021-04-27,2:14 PM,115.87,115.87,115.84,115.85,453,13
2021-04-27,2:15 PM,115.85,115.85,115.83,115.83,203,4
2021-04-27,2:16 PM,115.82,115.82,115.78,115.78,305,10
2021-04-27,2:17 PM,115.79,115.81,115.79,115.81,287,5
2021-04-27,2:18 PM,115.86,115.86,115.84,115.84,115,3
2021-04-27,2:19 PM,115.86,115.9,115.86,115.88,500,6
2021-04-27,2:20 PM,115.89,115.9,115.885,115.89,450,4
2021-04-27,2:21 PM,115.9,115.9,115.9,115.9,400,4
2021-04-27,2:22 PM,115.94,115.94,115.92,115.92,365,7
2021-04-27,2:23 PM,115.95,115.99,115.95,115.97,303,4
2021-04-27,2:24 PM,115.99,116.0,115.99,116.0,136,2
2021-04-27,2:25 PM,116.0,116.0,115.99,115.99,104,4
2021-04-27,2:26 PM,116.01,116.01,115.99,115.99,604,6
2021-04-27,2:27 PM,116.01,116.01,116.0,116.01,1038,5
2021-04-27,2:28 PM,116.0,116.0,115.97,115.99,7501,15
2021-04-27,2:29 PM,115.995,116.005,115.995,116.0,300,3
2021-04-27,2:30 PM,115.97,115.97,115.97,115.97,1,1
2021-04-27,2:31 PM,115.98,116.01,115.98,116.01,304,6
2021-04-27,2:32 PM,116.0,116.02,116.0,116.02,215,3
2021-04-27,2:33 PM,116.03,116.05,116.03,116.05,79,2
2021-04-27,2:34 PM,116.06,116.06,116.06,116.06,450,4
2021-04-27,2:35 PM,116.02,116.055,116.02,116.055,311,6
2021-04-27,2:36 PM,116.08,116.085,116.08,116.085,130,2
2021-04-27,2:37 PM,116.01,116.01,116.01,116.01,300,2
2021-04-27,2:38 PM,116.01,116.06,116.01,116.06,306,4
2021-04-27,2:39 PM,116.06,116.07,116.06,116.07,181,4
2021-04-27,2:40 PM,116.06,116.06,116.06,116.06,104,3
2021-04-27,2:41 PM,116.07,116.11,116.065,116.11,970,7
2021-04-27,2:42 PM,116.11,116.13,116.11,116.12,520,11
2021-04-27,2:43 PM,116.12,116.13,116.12,116.12,472,6
2021-04-27,2:44 PM,116.11,116.125,116.09,116.125,574,11
2021-04-27,2:45 PM,116.14,116.15,116.12,116.13,1125,10
2021-04-27,2:46 PM,116.1,116.1,116.07,116.07,101,2
2021-04-27,2:47 PM,116.08,116.17,116.08,116.16,805,12
2021-04-27,2:48 PM,116.17,116.17,116.15,116.15,400,4
2021-04-27,2:49 PM,116.16,116.16,116.16,116.16,300,3
2021-04-27,2:50 PM,116.14,116.15,116.1,116.15,501,5
2021-04-27,2:51 PM,116.16,116.23,116.16,116.23,1000,8
2021-04-27,2:52 PM,116.23,116.23,116.2,116.2,356,6
2021-04-27,2:53 PM,116.12,116.16,116.12,116.16,487,6
2021-04-27,2:54 PM,116.15,116.15,116.15,116.15,6,3
2021-04-27,2:55 PM,116.15,116.17,116.15,116.17,280,6
2021-04-27,2:56 PM,116.15,116.15,116.15,116.15,112,4
2021-04-27,2:57 PM,116.15,116.15,116.14,116.145,502,6
2021-04-27,2:58 PM,116.16,116.16,116.08,116.08,166,7
2021-04-27,2:59 PM,116.115,116.19,116.115,116.19,810,9
2021-04-27,3 PM,116.18,116.18,116.11,116.15,520,8
2021-04-27,3:01 PM,116.16,116.16,116.14,116.14,181,4
2021-04-27,3:02 PM,116.1,116.13,116.1,116.13,201,4
2021-04-27,3:03 PM,116.11,116.13,116.11,116.13,104,3
2021-04-27,3:04 PM,116.11,116.135,116.11,116.135,200,2
2021-04-27,3:05 PM,116.15,116.15,116.14,116.14,200,4
2021-04-27,3:06 PM,116.12,116.12,116.1,116.1,200,2
2021-04-27,3:07 PM,116.09,116.09,115.98,115.99,491,8
2021-04-27,3:08 PM,115.98,116.0,115.98,115.985,256,7
2021-04-27,3:09 PM,115.99,115.99,115.97,115.97,304,7
2021-04-27,3:10 PM,115.96,115.96,115.92,115.92,105,3
2021-04-27,3:11 PM,115.93,115.93,115.93,115.93,200,2
2021-04-27,3:12 PM,115.92,115.92,115.88,115.88,232,5
2021-04-27,3:13 PM,115.935,115.98,115.935,115.95,491,7
2021-04-27,3:14 PM,115.96,116.03,115.96,116.03,407,7
2021-04-27,3:15 PM,116.01,116.05,116.0,116.0,533,7
2021-04-27,3:16 PM,116.01,116.08,116.01,116.08,150,3
2021-04-27,3:17 PM,116.05,116.08,116.05,116.08,296,2
2021-04-27,3:18 PM,116.14,116.14,116.13,116.13,130,2
2021-04-27,3:19 PM,116.13,116.15,116.13,116.15,405,4
2021-04-27,3:20 PM,116.15,116.16,116.12,116.12,671,14
2021-04-27,3:21 PM,116.14,116.17,116.14,116.17,220,3
2021-04-27,3:22 PM,116.17,116.17,116.12,116.14,783,7
2021-04-27,3:23 PM,,,,,0,0
2021-04-27,3:24 PM,116.16,116.2,116.16,116.19,700,6
2021-04-27,3:25 PM,116.17,116.17,116.1,116.1,800,8
2021-04-27,3:26 PM,116.085,116.09,116.085,116.09,300,2
2021-04-27,3:27 PM,116.08,116.08,116.07,116.08,220,7
2021-04-27,3:28 PM,116.09,116.09,116.08,116.08,201,3
2021-04-27,3:29 PM,116.08,116.13,116.08,116.13,993,10
2021-04-27,3:30 PM,116.14,116.14,116.09,116.11,697,7
2021-04-27,3:31 PM,116.13,116.145,116.13,116.14,224,3
2021-04-27,3:32 PM,116.14,116.16,116.14,116.14,775,12
2021-04-27,3:33 PM,116.16,116.2,116.16,116.18,974,13
2021-04-27,3:34 PM,116.195,116.23,116.195,116.23,500,7
2021-04-27,3:35 PM,116.225,116.225,116.185,116.185,453,9
2021-04-27,3:36 PM,116.21,116.27,116.21,116.27,1060,11
2021-04-27,3:37 PM,116.28,116.3,116.28,116.3,1001,10
2021-04-27,3:38 PM,116.29,116.32,116.29,116.32,733,12
2021-04-27,3:39 PM,116.33,116.37,116.33,116.34,632,9
2021-04-27,3:40 PM,116.33,116.38,116.33,116.38,739,9
2021-04-27,3:41 PM,116.38,116.39,116.32,116.32,1942,43
2021-04-27,3:42 PM,116.33,116.33,116.31,116.31,110,16
2021-04-27,3:43 PM,116.26,116.345,116.26,116.32,846,12
2021-04-27,3:44 PM,116.345,116.36,116.32,116.32,397,5
2021-04-27,3:45 PM,116.35,116.38,116.35,116.38,871,12
2021-04-27,3:46 PM,116.37,116.37,116.29,116.3,1254,15
2021-04-27,3:47 PM,116.325,116.33,116.29,116.3,1055,12
2021-04-27,3:48 PM,116.33,116.34,116.3,116.3,1597,22
2021-04-27,3:49 PM,116.29,116.305,116.275,116.28,1596,17
2021-04-27,3:50 PM,116.29,116.305,116.27,116.3,2211,29
2021-04-27,3:51 PM,116.295,116.35,116.295,116.34,1148,13
2021-04-27,3:52 PM,116.34,116.345,116.305,116.315,1993,24
2021-04-27,3:53 PM,116.315,116.32,116.29,116.32,1512,23
2021-04-27,3:54 PM,116.32,116.36,116.32,116.36,1558,18
2021-04-27,3:55 PM,116.32,116.32,116.22,116.23,955,19
2021-04-27,3:56 PM,116.2,116.27,116.175,116.18,1620,19
2021-04-27,3:57 PM,116.23,116.26,116.23,116.26,1086,12
2021-04-27,3:58 PM,116.27,116.36,116.27,116.36,1881,29
2021-04-27,3:59 PM,116.37,116.37,116.18,116.18,2573,33
